YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
YLR163C	MAS1       || mitochondrial protein processing || mitochondrial processing peptidase activity || YLR163C || 1085883	-0.03	-0.12	-0.17	0.09	0.15	0.23	0.1	-0.18	-0.79	-0.81	-0.77	-0.33	-0.71	-0.58	-0.7	-0.85	-0.5	-0.63	0.49	-0.37	-0.58	-0.69	-0.67	-0.69	-0.33	-0.33	-0.15	-0.3	-0.22	-0.14	-0.55	-0.79	-0.57	-0.45	-0.66	-0.56
YPL235W	RVB2       || regulation of transcription from RNA polymerase II promoter* || ATPase activity || YPL235W || 1084807	-0.14	-0.22	-0.05	0.06	-0.07	0.07	0.09	0.03	0	0.03	0.09	-0.06	-0.19	-0.05	0.08	-0.1	0.06	0.1	0.28	0.04	0.18	-0.04	0.1	-0.03	-0.11	-0.11	0.23	0.18	0.13	0.28	0.12	0.05	0.08	0.28	0.03	-0.08
YDL061C	RPS29B     || protein biosynthesis || structural constituent of ribosome || YDL061C || 1081582	0.08	0.11	0.08	-0.03	0.21	0.15	-0.89	-0.41	0.79	0.73	0.44	0.27	-0.63	-0.62	-0.48	-0.37	-0.4	0.12	-0.61	0.09	0.2	0.27	0.22	0.27	0	-0.12	-0.09	0.08	-0.03	0.19	-0.16	0.26	0.31	0.29	0.31	0.07
YGL085W	|| biological process unknown || molecular function unknown || YGL085W || 1086743	0.25	0.35	-0.24	-0.16	0.22	0.34	-0.68	-0.34	0.17	0.43	0.31	0.18	0.02	0.04	0.27	0.29	0.3	0.26	-0.18	-0.02	0.28	0.17	0.29	0.25	0	0.2	0.02	0.3	0.11	0.41	-0.59	0.08	0.07	0.37	0.19	0.12
YKL047W	|| biological process unknown || molecular function unknown || YKL047W || 1081106	-0.06	-0.21	-0.25	-0.17	-0.22	-0.16	-0.11	-0.02	0.07	0.13	-0.05	-0.18	0.69	0.67	0.63	0.35	0.32	0.18	0.41	0.22	0.18	0.01	0.16	0.03	-0.1	0.25	0.06	0.1	0.09	0.09	0.65	0.39	0.22	0.26	0.29	0.16
YDL248W	COS7       || biological process unknown || receptor activity || YDL248W || 1085813	-0.17	-0.09	-0.05	-0.04	-0.58	-0.57	-0.11	-0.22	0.2	-0.18	-0.26	-0.64	-0.6	-0.82	-1.01	-1.1	-1.63	-1.42	-0.1	0.27	-0.01	0.21	-0.05	0.19	0.02	0.09	-0.42	-0.18	-0.01	-0.22	-0.25	0.76	0.64	0.04	0.39	0.31
YMR086C-A	||  ||  || YMR086C-A || 1083761	-0.00506832	-0.139995	-0.47	-0.21	-0.36	0.00399855	0.62	0.52	-0.12	0.09	-0.13	-0.04	-0.18	-0.19	0.26	-0.04	0.26	0.65	0.467001	-0.21	-0.0780547	-0.1	-0.0450466	-0.21	0.4	-0.65	0.36	0.55	0.18	-0.2	0.95	-0.094996	-0.5	-0.1	-0.03	0.12
YNL090W	RHO2       || cell wall organization and biogenesis* || GTPase activity* || YNL090W || 1082726	-0.56	-0.05	-0.1	-0.05	0.08	0.27	-0.74	-0.38	-0.17	0.1	0.16	0.23	-0.33	-0.26	0.01	0.14	0.19	0.15	0.47	0.27	0.17	0.31	0.22	0.32	-0.28	0.11	0.33	0.36	0.38	0.29	-0.32	0.06	0.22	0.36	0.23	0.18
YDR335W	MSN5       || protein-nucleus export || protein binding* || YDR335W || 1084560	0.06	-0.03	0.29	0.16	0.14	0.14	0.55	0.19	0.05	0.04	0	0.14	0.37	0.25	0.12	0.36	0.28	0.01	0.38	0.43	0.58	0.39	0.29	0.1	0.43	0.27	0.21	-0.03	0.08	0.02	-0.11	-0.04	0.03	-0.11	-0.06	-0.09
YPL244C	HUT1       || UDP-galactose transport || UDP-galactose transporter activity || YPL244C || 1081802	-0.72	-0.48	-0.57	-0.32	-0.13	0	-1.31	-0.99	-0.99	-0.47	-0.51	0.02	-0.76	-0.62	-0.25	0.23	0.21	0.25	-1.56	-0.82	-0.54	-0.46	-0.29	-0.05	-0.56	-0.28	-0.1	0.01	0.13	0.27	-1.01	-0.41	-0.27	0.01	-0.03	0.15
YGL094C	PAN2       || postreplication repair* || poly(A)-specific ribonuclease activity || YGL094C || 1083948	-0.58	-0.41	-0.37	-0.29	-0.27	-0.22	-0.28	-0.21	0.28	0	0.18	-0.04	0.12	0.22	0.21	0.31	0.18	0.28	-0.44	-0.07	-0.02	0	-0.06	0	-0.27	-0.36	-0.24	-0.25	-0.13	-0.08	-0.28	-0.32	-0.22	-0.26	-0.21	-0.13
YOR362C	PRE10      || ubiquitin-dependent protein catabolism || endopeptidase activity || YOR362C || 1086519	-0.15	-0.04	0.09	0	-0.09	-0.15	-0.6	-0.69	-0.35	-0.28	-0.02	-0.09	-0.14	-0.63	-0.3	-0.42	-0.2	-0.09	-0.42	-0.25	0.31	0.06	0.09	-0.19	0.13	0.05	0.07	0.06	0.02	-0.01	-0.76	-0.18	-0.09	0.05	-0.1	-0.05
YFR032C-A	RPL29      || protein biosynthesis || structural constituent of ribosome || YFR032C-A || 1082417	-0.43	-0.03	-0.31	-0.33	0.05	-0.11	-1.04	-0.51	0.41	0.4	0.34	0	-0.65	-0.51	-0.16	0.21	0.27	0.79	0.18	0.07	0.37	0.44	0.41	0.3	0.1	-0.12	0.02	0.12	0.1	0.28	-0.03	-0.16	0.23	0.61	0.09	-0.1
YLR143W	|| biological process unknown || molecular function unknown || YLR143W || 1083634	-0.48	-0.53	-0.41	-0.27	-0.29	0.03	-0.18	-0.27	-0.04	-0.14	-0.07	0.11	-0.09	0.24	0.19	0.16	0.35	0.41	0.8	-0.42	-0.38	-0.22	-0.24	0	-0.37	-0.26	-0.02	-0.05	0.01	0.06	0.2	-0.45	-0.21	0.05	0.12	0.18
YLR152C	|| biological process unknown || molecular function unknown || YLR152C || 1086273	1.89	1.81	1.32	0.94	0.11	-0.07	0.82	0.84	0.57	-0.03	-0.31	-0.41	-1.25	-1.39	-0.99	-0.91	-1.16	-1.17	0.64	0.23	-0.42	-0.27	-0.43	-0.31	0.51	0.01	-0.32	-0.54	-1.05	-1.39	0.01	-0.47	-1.29	-1.12	-1.02	-1.09
YMR121C	RPL15B     || protein biosynthesis || structural constituent of ribosome* || YMR121C || 1084662	0.69	0.7	0.41	0.33	0.02	0.12	0.69	0.56	0.25	-0.06	-0.01	-0.25	0.51	0.56	0.62	0.13	0.3	0.2	1.24	0.75	0.56	0.4	0.48	0.34	0.72	0.49	0.37	0.35	0.03	0.36	2.11	0.88	0.49	0.73	0.35	0.22
YMR198W	CIK1       || meiosis* || microtubule motor activity || YMR198W || 1086175	-0.32	0.04	-0.35	-0.37	-0.15	-0.12	0.75	0.22	0.29	0.2	0.39	0	0.53	0.7	0.62	0.78	0.58	0.14	1.57	0.26	0.21	-0.01	0.19	-0.13	-0.45	-0.38	-0.05	-0.05	0.03	-0.15	0.1	-0.1	0.06	0.09	-0.16	-0.03
YKL056C	|| biological process unknown || molecular function unknown || YKL056C || 1083851	-0.6	-0.68	-0.44	-0.01	0.08	0.12	-0.81	-0.36	0.06	0.37	0.19	0.23	-0.01	-0.16	0.56	0.51	0.42	0.29	-0.96	-0.42	-0.37	0.03	-0.06	0.33	-0.63	-0.26	-0.29	-0.16	-0.04	0	-1.14	-0.16	-0.02	-0.14	0.25	0.28
YJL087C	TRL1       || tRNA splicing* || RNA ligase (ATP) activity || YJL087C || 1085564	-0.36	0.04	-0.13	-0.18	-0.24	-0.19	-0.21	0.14	0.65	0.54	0.31	-0.05	0.34	0.26	0.2	0.24	0.17	-0.1	-0.57	0.07	0.01	-0.02	0.01	-0.06	-0.32	-0.19	-0.33	-0.17	-0.13	-0.27	-0.68	-0.43	-0.26	-0.23	-0.06	-0.14
YNL286W	"CUS2       || nuclear mRNA splicing, via spliceosome || RNA binding || YNL286W || 1086061"	0.12	0.32	-0.21	-0.25	-0.16	0.01	-0.04	-0.19	-0.14	-0.22	-0.06	-0.41	0.13	0.04	0.06	0.05	0.09	-0.15	1.21	-0.15	-0.28	-0.28	-0.02	-0.39	0.12	0.04	-0.13	0.07	-0.04	0.16	0.46	-0.33	-0.19	-0.14	-0.59	-0.39
YDL050C	||  ||  || YDL050C || 1082348	-0.12	-0.08	-0.1	-0.03	0.13	0.14	-0.21	-0.18	-1.06	0.02	0.05	0	-0.41	0.22	-0.15	-0.1	-0.22	0.31	0.83	0.18	0.15	0.25	0.04	0.17	-0.27	-0.13	-0.06	0.01	0.06	0.14	0.6	-0.12	0.16	0.25	0.13	0.25
YDL237W	|| biological process unknown || molecular function unknown || YDL237W || 1081593	0.33	0.42	0.15	-0.13	-0.08	-0.1	-0.04	0.27	1.07	0.84	0.56	0.47	0.53	0.41	0.37	0.5	0.18	0.12	-0.15	0.44	0.25	0.15	0.12	0.07	-0.11	0.31	0.03	0.14	0.05	0.07	-1.01	0.45	-0.17	0.19	0.04	0.06
YMR110C	|| biological process unknown || molecular function unknown || YMR110C || 1083146	1.41	0.9	1.03	0.94	0.52	0.32	1.32	1.18	0.8	0.74	0.33	0.31	0.98	0.67	0.44	0.14	0.01	-0.1	1.48	0.77	0.72	0.56	0.48	0.37	0.54	0.37	0.4	0.11	0.15	0.14	0.38	0.87	0.28	0.38	0.31	0.17
YDL030W	"PRP9       || nuclear mRNA splicing, via spliceosome || RNA binding || YDL030W || 1083198"	0.26	0.37	0.2	0.06	0.04	0.12	0.69	0.33	0.18	0.05	0.02	0.05	0.18	0.15	-0.09	0.15	-0.21	-0.29	0.6	0.5	0.27	0.08	0.14	0.03	-0.03	0.06	-0.02	0.01	0.03	-0.01	0.06	-0.22	-0.03	-0.12	-0.1	-0.01
YPL213W	"LEA1       || nuclear mRNA splicing, via spliceosome || RNA splicing factor activity, transesterification mechanism || YPL213W || 1085679"	0.28	0.47	0.59	0.48	0.23	0.36	0.26	0.44	1.38	1.26	1.08	0.87	0.63	0.43	0.46	0.63	0.37	0.14	0.37	0.73	1.16	0.83	1.07	0.52	0.4	0.5	0.36	0.38	0.44	0.44	-0.04	0.78	0.56	0.84	0.55	0.38
YNL275W	|| transport* || anion transporter activity* || YNL275W || 1086151	0.14	0.03	-0.1	0.06	0	-0.1	-0.13	0.32	-0.02	-0.2	-0.3	-0.3	-0.01	-0.35	-0.2	-0.14	-0.26	0.05	-0.56	-0.21	-0.5	-0.21	-0.36	0.05	-0.23	-0.28	-0.27	-0.03	-0.14	-0.24	-0.34	-0.3	-0.4	-0.32	-0.09	0.02
YBL092W	RPL32      || protein biosynthesis || structural constituent of ribosome || YBL092W || 1086098	-0.07	0.1	-0.07	-0.32	-0.05	0.05	-1.46	-1.39	0	0.14	0.21	-0.14	-0.09	-0.17	0.07	0.3	0.2	0.09	-0.77	-0.31	-0.01	0	0.2	-0.02	-0.25	0.14	-0.08	-0.03	-0.02	0.01	-0.68	-0.25	0.16	-0.09	-0.14	-0.31
YDR333C	|| biological process unknown || molecular function unknown || YDR333C || 1083019	-0.26	-0.34	-0.13	-0.2	-0.05	0.01	-0.3	-0.18	-0.11	-0.04	-0.1	0.07	0.2	0.16	0.11	0.2	0.24	0.54	0.04	-0.11	0.34	0.18	0.19	0.08	0.02	0.14	0.06	0.14	-0.06	0.12	-0.56	-0.28	-0.13	0.02	0.1	-0.07
YGL063W	PUS2       || tRNA modification || tRNA-pseudouridine synthase activity || YGL063W || 1084108	0.03	0.35	0.33	0.6	0.31	-0.04	1.81	1.43	-0.21	-0.15	-0.28	0.53	-0.83	-0.72	-0.67	-0.47	0.15	-0.45	1.45	0.85	-0.23	-0.21	-0.09	-0.14	-0.04	-0.07	-0.06	0.13	0.3	0.11	1.18	0.1	0.4	0.07	0.04	0.3
YIL001W	|| biological process unknown || molecular function unknown || YIL001W || 1086524	0.37	0.51	0.31	0.11	0.16	0.09	0.06	0.04	0.57	0.42	0.16	0.21	0.71	0.75	0.4	0.24	0.19	0.62	0.74	0.71	0.61	0.34	0.45	0.42	0.11	0.44	0.09	0.24	0.14	0.18	0.15	0.23	0.14	0.31	0.06	0.13
YGL072C	||  ||  || YGL072C || 1081608	-1.68	-0.54	-0.2	0.01	-0.68	-1.22	-3.35	-2.04	-1.39	-0.84	-1.12	-1.11	-2.12	-1.08	-1.05	-0.28	-0.64	-0.5	-2.06	-1.27	-0.96	-0.31	-0.55	0.16	-0.36	-0.26	-0.33	-0.09	0.1	-0.31	-0.32	-0.15	-0.27	0.05	-0.01	-0.18
YOR340C	RPA43      || transcription from RNA polymerase I promoter || DNA-directed RNA polymerase activity || YOR340C || 1085199	-0.9	-0.73	-0.5	-0.58	-0.16	0.06	-1.99	-1.81	-0.99	-0.32	-0.11	-0.01	-0.07	0.01	0.2	-0.01	0.42	0.58	-1.24	-1.21	-0.33	-0.31	-0.21	-0.21	-1.02	-0.57	-0.2	-0.14	0.08	0.22	-1.96	-0.78	-0.23	0.06	0	0.06
YNL284C	MRPL10     || protein biosynthesis || structural constituent of ribosome || YNL284C || 1083593	-0.34	-0.23	-0.26	0.1	0.22	0.39	-0.87	-0.55	-0.58	-0.28	-0.38	-0.58	-0.89	-0.43	-0.33	-0.73	-0.42	-0.41	-0.09	-0.56	-0.56	-0.57	-0.36	-0.54	-0.38	-0.08	0.04	-0.12	-0.03	-0.02	0.11	-0.65	-0.23	-0.22	-0.57	-0.52
YDR529C	QCR7       || aerobic respiration* || ubiquinol-cytochrome-c reductase activity || YDR529C || 1083720	-0.38	-0.03	-0.06	-0.01	0.03	-0.38	-1.56	-1.16	-0.41	0.15	-0.4	-0.86	0.21	0.27	0.39	0.22	-0.28	-0.57	-1.21	-0.77	-0.22	-0.31	-0.14	-0.39	-0.52	-0.69	-0.74	-0.79	-0.78	-0.78	-0.74	-0.67	-0.49	-0.41	-0.89	-1.08
YER029C	"SMB1       || nuclear mRNA splicing, via spliceosome || RNA splicing factor activity, transesterification mechanism || YER029C || 1082682"	-0.2	-0.25	-0.1	-0.24	-0.27	-0.12	-0.23	0.13	0.4	0.51	0.36	-0.09	0.09	0.41	0.48	0.15	0.31	0.2	0.17	-0.09	0.26	-0.02	0.1	-0.22	-0.07	-0.2	-0.13	-0.16	-0.26	-0.14	0.27	-0.28	-0.08	0.04	-0.09	-0.22
YMR176W	ECM5       || cell wall organization and biogenesis || molecular function unknown || YMR176W || 1083742	0.48	0.42	0.3	0.11	0.11	0.04	0.69	0.4	0.51	0.39	0.22	0.02	0.36	0.02	-0.09	-0.09	-0.13	-0.29	0.84	0.51	0.23	0.21	0.16	0.19	0.45	0.46	0.34	0.17	0.04	0.03	0.34	0.28	0.01	-0.07	0.08	0.03
YDL235C	"YPD1       || response to osmotic stress* || transferase activity, transferring phosphorus-containing groups || YDL235C || 1086607"	0.11	0.37	0.13	0.08	0.2	0.11	-0.91	-0.66	0.15	0.44	0.38	0.3	0	-0.05	0.16	0.28	0.13	0.07	0.01	0.15	0.31	0.29	0.39	0.42	-0.17	0.2	-0.1	0.1	0.29	0.28	-0.3	0.27	0.24	0.5	0.32	0.34
YLR130C	ZRT2       || low-affinity zinc ion transport || low-affinity zinc ion transporter activity || YLR130C || 1084540	-1.78	-1.43	-1.05	-0.62	-0.92	-1.06	-1.04	-0.85	-1.18	-1.42	-1.39	-1.26	0.16	0.09	0.1	0.17	-0.02	-0.07	-0.61	-0.78	-0.68	-0.37	-0.42	-0.12	-0.45	-0.06	-0.45	-0.21	-0.28	-0.46	-0.28	0.06	-0.11	-0.22	0.06	0.29
YPL092W	SSU1       || sulfite transport || sulfite transporter activity || YPL092W || 1082465	3.22	2.33	0.97	0.11	-0.09	0.06	1.09	1.1	0.59	0.22	0.24	0.07	0.54	0.03	-0.57	-0.61	-0.61	-0.49	0.21	-0.51	-1.34	-0.87	-0.84	-0.29	0.9	0.66	-0.45	-0.14	-0.15	-0.65	-1.25	-1.35	-1.56	-1.58	-1.46	-1.15
YJL065C	DLS1       || chromatin silencing at telomere || molecular function unknown || YJL065C || 1086923	-0.36	-0.03	-0.37	-0.28	0.04	0.15	-0.48	-0.51	-0.34	-0.52	0.01	-0.01	-0.12	-0.13	0.02	0.12	0.06	0.19	0.2	-0.54	-0.09	0.04	0.14	0.04	-0.07	-0.02	0.16	0.29	0.04	0.35	0.22	-0.18	-0.04	0.37	0	0.13
YBL081W	|| biological process unknown || molecular function unknown || YBL081W || 1082907	-0.83	-0.98	-0.38	-0.03	0.14	0.08	-0.11	0.34	-0.9	-0.51	-0.59	0.3	-2.07	-1.9	-1.63	-1.17	-1.07	-0.53	-0.67	-0.64	-0.82	-0.26	-0.67	0	-0.56	-0.67	-0.23	-0.04	0.16	0.18	-0.44	0.04	0.3	-0.05	0.59	0.51
YIL096C	|| biological process unknown || molecular function unknown || YIL096C || 1082046	-0.91	-0.79	-0.86	-0.98	-0.36	-0.09	-2.05	-1.43	-0.69	-0.17	-0.17	-0.39	0.55	0.33	0.49	0.49	0.52	0.87	-0.21	-0.91	-0.5	-0.3	-0.19	-0.11	-0.73	-0.42	-0.44	-0.14	-0.07	0.14	-0.81	-0.25	-0.04	0.16	0.06	0.06
YDR399W	HPT1       || purine nucleotide biosynthesis || hypoxanthine phosphoribosyltransferase activity || YDR399W || 1082742	-0.54	-0.11	-0.5	-0.52	0.02	0.09	-0.19	0.1	0.49	0.27	0.12	-0.06	0.39	0.17	0.21	0.34	0.52	0.34	-0.47	-0.72	-0.45	-0.5	-0.45	-0.47	-1.02	-0.35	-0.25	-0.38	-0.19	-0.12	-1.1	-1.18	-0.88	-0.54	-0.91	-0.5
YEL074W	||  ||  || YEL074W || 1082156	-0.32	-0.39	-0.24	0.2	0.26	0.4	-0.65	-0.45	-0.9	-0.77	-0.54	0.13	-0.54	-0.61	-0.8	-0.41	-0.35	0.17	0.13	-0.45	-0.38	-0.09	-0.26	0.32	-0.28	-0.25	-0.13	0.14	0.41	0.38	-0.12	-0.3	0.22	0.16	0.46	0.86
YBR158W	AMN1       || negative regulation of exit from mitosis* || protein binding || YBR158W || 1086594	0.18	0.61	1.55	1.34	0.23	-0.03	-0.59	-0.02	0.67	0.21	-0.04	-0.05	-1.51	-1.33	-1.03	-0.8	-0.42	-0.81	-0.08	0.36	-0.18	0	-0.09	0.02	-1.09	-0.09	-0.35	-0.27	-0.07	-0.11	-1.15	0.41	0.28	0	0.17	-0.01
YGL208W	SIP2       || protein amino acid phosphorylation* || AMP-activated protein kinase activity || YGL208W || 1081268	1.01	0.5	0.97	1.24	0.69	0.04	1.36	0.83	-0.64	-0.417076	-0.532928	-0.82	-0.61	-1.01	-0.94	-1.57	-1.64	-1.62	0.27	-0.54	-0.355853	-0.353089	-0.32	-0.414111	0.38	-0.11	-0.13	-0.3	-0.24	-0.2	0.41	-0.14	-0.41	-0.19	-0.43	-0.24
YHR194W	MDM31      || mitochondrion organization and biogenesis* || molecular function unknown || YHR194W || 1082670	-0.39	-0.32	-0.09	0.19	0.02	0	0.76	0.75	-0.28	-0.08	-0.33	0.19	-1.09	-0.88	-0.84	0.9	-0.64	-0.68	0.02	-0.3	-0.56	-0.44	-0.51	-0.19	-0.41	-0.29	-0.15	-0.1	-0.05	-0.19	-0.64	-0.05	-0.1	-0.3	0.05	0.25
YBR167C	POP7       || rRNA processing* || ribonuclease P activity* || YBR167C || 1080827	0.6	0.89	0.3	-0.01	-0.18	0.06	-1.07	-0.71	0.75	0.51	0.32	-0.08	0.18	0.07	0.34	0.56	0.25	0.38	0	0.26	0.45	0.44	0.46	0.42	0.21	0.33	0.04	0.08	0	0.2	-0.3	0.27	0.15	0.39	0.18	-0.15
YJL045W	|| cellular respiration || succinate dehydrogenase (ubiquinone) activity || YJL045W || 1085985	1.09	0.19	-0.31	-0.44	0.03	0.41	0.47	0.06	0.42	0.29	0.21	0.01	1.83	1.55	1.23	0.97	0.55	0.88	0.32	-0.18	-0.77	-0.23	-0.06	0.14	-0.28	-0.5	-0.58	-0.06	0.02	0.47	-0.28	-0.82	-0.54	0.27	-0.08	0.12
YIL076W	SEC28      || ER to Golgi transport* || molecular function unknown || YIL076W || 1081018	-0.59	-0.14	0.05	-0.13	-0.01	-0.08	-1.65	-1.32	-0.12	0.43	0.35	0.04	0.08	0.18	0.33	0.59	0.17	0.32	-0.48	0	0.52	0.42	0.61	0.3	0.09	0.46	0.12	0.36	0.29	0.4	-0.11	0.94	0.94	0.85	0.53	0.23
YDR302W	GPI11      || GPI anchor biosynthesis || phosphoethanolamine N-methyltransferase activity || YDR302W || 1084065	-0.79	-0.62	-0.6	-0.41	-0.02	0.21	-1.55	-0.88	-0.35	-0.06	0.09	0.18	-0.69	-0.54	0	0.25	0.46	0.74	-0.03	-0.69	-0.19	-0.06	-0.06	0.28	-0.99	-0.64	-0.26	0.08	0.22	0.41	-1.33	-0.41	-0.19	0.28	0.25	0.39
YER009W	NTF2       || protein-nucleus import* || Ran GTPase binding || YER009W || 1081289	-0.7	-0.37	-0.04	-0.01	0.35	0.46	-1.48	-1.28	-0.23	0.59	0.56	0.8	-0.31	-0.37	-0.24	0.42	0.05	0.43	-0.88	-0.39	0.36	0.46	0.43	0.53	-0.34	-0.23	0.03	0.18	0.4	0.41	-1.2	-0.06	0.26	0.42	0.51	0.44
YGL061C	DUO1       || mitotic spindle organization and biogenesis in nucleus* || structural constituent of cytoskeleton || YGL061C || 1081711	-0.39	-0.19	-0.66	-0.42	-0.15	0.11	-0.05	0.32	0.63	0.62	0.59	0.17	0.68	0.82	0.68	0.81	0.95	0.51	0.41	0.58	0.37	0.28	0.58	0.4	-0.63	-0.25	0.13	0.12	0.17	0.16	-0.6	0.01	0.05	0.3	-0.17	0.07
YER018C	SPC25      || chromosome segregation* || structural constituent of cytoskeleton || YER018C || 1083678	0.37	0.47	0.56	0.56	0.28	0.34	1.31	1.36	-0.27	0.24	0.23	0.64	-1.41	-0.98	-0.8	-0.4	-0.32	-0.5	0.3	0.51	-0.27	0	-0.01	0.31	0.36	0.2	0.46	0.47	0.33	0.38	1.3	0.64	0.56	0.17	0.39	0.59
YDR388W	RVS167     || endocytosis* || cytoskeletal protein binding || YDR388W || 1081019	0.52	0.23	0.82	0.85	0.27	0.01	1.79	1.48	0.15	-0.1	0.27	0.37	-0.33	-0.1	-0.5	-0.15	-0.45	-0.39	0.7	0.54	-0.05	0.17	0	0.14	0.62	0.04	0.25	0.03	0.18	0.01	1.61	0.81	0.74	0.32	0.52	0.37
YNL253W	TEX1       || mRNA-nucleus export || molecular function unknown || YNL253W || 1086147	0.61	0.23	0.15	0.29	0.07	0.02	0.34	0.32	0.49	0.28	-0.03	-0.03	0.58	0.42	0.03	0.09	0.01	0.18	0.96	0.43	0.34	0.29	0.48	0.29	0.63	0.44	0.53	0.43	0.17	0.4	1.53	0.53	0.19	0.59	0.36	0.22
YPL081W	RPS9A      || protein biosynthesis* || structural constituent of ribosome || YPL081W || 1086419	-1.04	-0.46	-0.47	-0.5	-0.12	-0.1	-1.98	-1.46	-0.43	-0.09	-0.03	-0.06	-0.56	-0.21	0.34	0.39	0.71	0.75	-1.32	-0.93	-0.36	-0.32	0.03	-0.08	-0.56	-0.2	0.03	0.06	0.04	0.23	-1.85	-0.67	-0.26	0	-0.33	-0.36
